iter	Passed	Remaining
0	2	312
1	4	299
2	6	304
3	8	300
4	10	305
5	14	347
6	17	356
7	19	348
8	21	339
9	23	332
10	26	329
11	30	345
12	32	347
13	35	344
14	37	341
15	40	337
16	42	331
17	46	337
18	48	337
19	51	334
20	53	330
21	56	327
22	58	323
23	61	322
24	64	324
25	67	322
26	70	319
27	72	315
28	74	312
29	78	312
30	81	313
31	84	310
32	86	307
33	89	305
34	92	303
35	96	305
36	99	302
37	101	299
38	104	296
39	106	293
40	109	291
41	113	292
42	116	289
43	118	285
44	121	282
45	124	280
46	127	279
47	130	277
48	133	274
49	135	271
50	138	269
51	142	267
52	145	266
53	148	264
54	151	261
55	154	259
56	157	256
57	161	255
58	163	252
59	166	250
60	169	247
61	171	244
62	176	243
63	179	241
64	182	238
65	185	235
66	188	233
67	193	233
68	196	230
69	198	227
70	201	224
71	204	221
72	209	221
73	212	218
74	215	215
75	218	212
76	220	209
77	224	207
78	227	204
79	230	201
80	233	198
81	235	195
82	238	192
83	242	190
84	245	187
85	247	184
86	250	181
87	253	178
88	256	175
89	260	173
90	263	170
91	266	168
92	269	165
93	273	163
94	277	160
95	280	157
96	283	154
97	285	151
98	290	149
99	293	146
100	296	143
101	298	140
102	302	137
103	306	135
104	310	132
105	312	129
106	315	126
107	318	123
108	323	121
109	325	118
110	328	115
111	331	112
112	334	109
113	338	106
114	341	103
115	344	100
116	347	97
117	350	95
118	354	92
119	358	89
120	361	86
121	364	83
122	367	80
123	371	77
124	374	74
125	377	71
126	380	68
127	383	65
128	386	62
129	389	59
130	392	56
131	395	53
132	398	50
133	403	48
134	407	45
135	410	42
136	413	39
137	416	36
138	421	33
139	424	30
140	427	27
141	430	24
142	433	21
143	437	18
144	440	15
145	443	12
146	446	9
147	449	6
148	453	3
149	456	0
